height,weight,gender
65.66,116.76,1
65.37,134.49,0
70.57,168.19,0
68.68,149.6,0
69.99,157.68,0
64.24,98.79,1
63.29,106.71,1
60.33,102.02,1
68.12,127.65,1
61.54,118.18,1
63.99,116.73,1
66.4,157.51,0
65.14,119.76,1
65.62,114.09,1
62.71,122.13,1
60.5,117.68,1
65.88,107.85,1
58.09,109.64,1
71.55,164.23,0
66.21,117.6,1
71.33,161.5,0
68.72,154.28,0
62.42,117.58,1
73.04,158.98,0
58.7,104.55,1
67.66,150.72,0
62.68,119.45,1
67.83,114.26,1
62.38,119.63,1
65.92,117.71,1
60.07,107.07,1
60.75,112.39,1
70.88,160.01,0
68.18,158.63,0
68.73,170.13,0
69.01,110.67,1
70.32,157.33,0
57.57,101.81,1
73.24,194.58,0
67.96,149.87,0
64.22,114.61,1
61.17,131.69,1
69.1,130.33,1
66.57,157.79,0
70.21,149.92,0
75,173.64,0
67.72,165.27,0
61.38,118.68,1
67.31,126.5,1
61.53,113.85,1
62.43,101.3,1
72.53,166.57,0
70.45,145.68,0
69.06,165.25,0
67.83,123.27,1
57.46,106.47,1
60.69,93.26,1
65.08,117.99,1
65.24,146.74,0
69.5,160.88,0
62.98,122.62,1
71.51,149.73,0
63.36,118.88,1
66.43,158.69,0
68.44,176.97,0
66.2,139.96,0
66.29,113.45,1
59.22,121.06,1
65.66,148.81,0
64.1,111.33,1
67.14,115.93,1
67.18,144.41,0
60.68,106.28,1
64.88,108.75,1
65.07,109.02,1
64.06,106.42,1
72.9,181.01,0
67.31,165.21,0
64.77,105.23,1
63.97,104.04,1
69.12,160.09,0
62.49,123.03,1
67.07,120.87,1
68.6,146.11,0
67.24,133.18,1
66.63,125.27,1
62.36,111.97,1
64.7,125.14,1
61.92,121.04,1
68.06,127.02,1
73.03,184.3,0
61.87,124.2,1
70.74,170.75,0
62.69,110.82,1
65.7,114.37,1
66.38,137.27,0
73.83,188.91,0
62.95,119.16,1
62.1,119.01,1
64.69,125.94,0
63.29,122.88,1
69.9,129.6,1
61.5,121.03,1
68.29,153.97,0
63.84,114.52,1
71.79,175.12,0
64.18,98.92,1
66.53,162.34,0
61.34,118.5,1
62.05,122.31,1
67.25,163.97,0
63.13,102.07,1
65.66,156.25,0
71.76,147.53,0
62.27,104.16,1
64.19,114.07,1
62.74,116.6,1
67.73,176.01,0
67.62,121.4,1
74.09,182.78,0
65.64,140.44,0
66.73,152.07,1
68.67,151.93,0
64.07,117.91,1
66.02,111.69,1
60.8,110.53,1
66.36,118.22,1
74.93,163.04,0
60.98,108.62,1
63.69,120.91,1
59.14,103.81,1
62.6,115.5,1
70.83,170.2,0
70.05,145.8,0
66.42,150.38,0
66.41,114,1
67.31,128.68,1
70.34,152.25,0
73.43,188.98,0
70.24,158.12,0
68.86,167.88,0
71.5,174.27,0
66.17,150.14,0
69.82,145.07,0
62.12,114.81,1
65.83,124.05,1
71.68,157.91,0
63.94,114.48,1
60.41,111.11,1
58.2,107.32,1
66.07,108.15,1
69.2,160.09,0
67.37,169.74,0
64.69,125.93,1
63.67,115.54,1
67,131.59,1
66.89,162.89,0
63.14,121.45,1
67.59,162.64,0
66.23,107.45,1
67.35,119.97,1
59.59,115.44,1
62.88,117.04,1
68.98,145.3,0
68,131.19,1
66.47,153.08,0
63.55,144.63,0
61.14,134.38,1
60.56,113.27,1
68.89,159.99,0
66.66,132.39,1
63.85,104.02,1
68.56,163.24,0
60.53,102.86,1
61.28,106,1
70.21,162.1,0
59.63,121.48,1
62.38,101.35,1
64.66,118.59,1
68.41,159.84,0
69.72,156.31,0
67.23,170.18,0
73.35,185.39,0
66.24,139.04,0
66.08,113.38,1
65.92,98.92,1
62.53,122.65,1
63.56,127.86,1
62.25,124.03,1
64.9,123.46,1
62.71,120.01,1
61.45,118.78,1
58.89,99.91,1
63.8,121.81,1
67.62,157.54,0
69.68,172.39,0
66.95,140.75,1
66.19,117.78,1
60.46,138.92,0
63.29,117.76,1
69.96,155.18,0
64.12,113.85,1
67.83,181.48,0
71.43,159.09,0
66.79,155.2,0
69.18,126.57,1
63.12,123.08,1
69.63,164.09,0
70.19,163.44,0
63.76,154.03,0
63.62,117.19,1
61.72,107.95,1
68.44,141.13,0
63.65,119.53,1
68.57,149.59,0
65.42,120.54,1
72.35,166.13,0
62.54,126.01,1
68.91,154.79,0
61.93,111.41,1
61.88,111.33,1
69.33,158.79,0
60.66,105,1
67.08,166.17,0
63.48,113.54,1
66.71,166.25,0
68.3,123.61,1
65.8,116.25,1
67,144.73,0
62.94,128.72,1
63.99,150.71,0
61.05,106.73,1
66.5,155.75,0
69.55,142.02,1
71.71,157.41,0
63.67,115.43,1
70.52,158.08,0
67.33,144.44,0
65.56,107.09,1
59.48,102.16,1
76.81,195.07,0
68.72,159,0
67.47,132,1
59.69,108.54,1
66.85,157.7,0
67.62,148.37,0
66.19,143.45,0
70.27,144.67,0
71.49,140.79,0
68.34,129.95,1
61.83,121.48,1
61.15,117.85,1
73.27,200.61,0
61.9,118.4,1
71.13,149.21,0
66.11,103.41,1
66.9,131.51,1
62.94,115.91,1
69.94,159.32,0
64.81,110.82,1
67.76,136.77,1
64.8,111.07,1
68.46,152.16,0
61.47,126.58,1
64.95,124.84,1
68.22,176.21,0
70.42,154.03,0
68.66,125.98,1
62.59,128.53,1
61.74,110.35,1
65.99,124.33,0
65.12,112.79,1
68.43,158.15,0
65.17,138.84,0
72.72,171.51,0
66,136.11,1
66.54,124.36,1
61.76,152.86,0
69.59,161.33,0
62.59,104.16,1
70.99,168.48,0
65.93,115.36,1
69.03,134.03,1
71.2,161.2,0
68.27,149.52,0
67.69,131.24,1
62.46,116.97,1
64.27,136.14,1
71.18,128.95,1
66.06,126.79,1
69.29,169.3,0
72.09,177.67,0
60.29,108.26,1
62.19,105.33,1
67.22,121.57,1
71.45,149.63,0
70.47,171.07,0
73.58,162.37,0
61.7,121.46,1
64.05,124.99,1
62.59,104.13,1
66.23,110.65,1
67.67,166.68,0
68.9,151.08,0
66.48,166.06,0
59.21,100.85,1
64.93,111.53,1
71.63,169.98,0
72.13,169.46,0
69.02,142.67,0
63.59,108.72,1
69.05,162.19,0
62.66,126.73,1
68.58,171.2,0
60.34,108.68,1
69.71,182.98,0
66.58,133.9,1
59.04,115.71,1
67.74,159.26,0
68.31,184.35,0
70.6,153.02,0
67.34,144.56,0
58.29,97.28,1
70.52,156.73,0
72.86,164.18,0
65.37,106.14,1
66.24,165.01,0
60.3,108.24,1
66.77,164.54,0
67.26,129.15,1
62.29,129.08,1
69.2,125.67,1
68.55,164.84,0
61.85,108.23,1
67.85,127.33,1
73.94,160.8,0
68.61,170.54,0
74.99,186.88,0
66.07,148.78,0
67.82,172.57,0
61.81,110.94,1
65.37,139.41,0
65.47,111.59,1
71.33,141.63,0
63.54,117.68,1
66.3,161.1,0
67.85,129.02,1
66.1,111.6,1
73.17,197.52,0
70.03,155.28,0
71.93,173.94,0
72.91,175.3,0
71.05,162.73,0
69.14,146.97,1
61.72,121.32,1
63.47,112.65,1
59.59,104.9,1
61.63,144.26,0
69.12,159.65,0
64.26,123.68,1
65.95,110.59,1
64.77,115.4,1
66.56,129.91,1
70.11,153.24,0
67.58,167.08,0
70.75,172.4,0
62.26,108.09,1
64.7,114.43,1
65.79,117.79,1
68.39,154.3,0
72.37,173.3,0
63.11,129.43,1
70.56,171.99,0
62.59,122.97,1
66.54,124.41,1
74.97,166.77,0
61.98,115.34,1
66.59,124.52,1
63.63,109.21,1
64.8,99.16,1
68.98,136.42,1
67.62,132.38,1
69.94,170.26,0
70.16,150.02,0
70.92,166.74,0
67.38,149.72,0
62.05,111.01,1
65.19,143.19,0
66.13,144.65,0
63.68,112.63,1
62.92,117.57,1
65.25,123.27,1
62.53,119.01,1
70.33,153.95,0
73.86,167.8,0
69.76,173.79,0
66.52,157.05,0
69.24,168.3,0
67.13,159.01,0
76.7,192.87,0
64.76,134.52,1
73.45,176.03,0
71.49,147.14,0
70.99,153.41,0
56.38,101.68,1
68.15,171.49,0
64.66,128.63,0
65.93,140.57,0
68.64,158.78,0
66.98,134.05,1
64.24,105.53,1
62.72,131.1,1
67.12,120.05,1
67.51,149.66,0
59.62,114.05,1
68.59,157.34,0
70.53,150.64,0
63.82,155.87,0
73.42,181.99,0
60.95,118.45,1
72.2,176.33,0
69.27,140.31,0
61.84,115.7,1
70.52,162.04,0
64.72,145.14,0
65.44,116.15,1
64.48,105.81,1
64.3,142.06,0
68.46,139.82,1
67.62,131.3,1
70.93,173.44,0
66.58,129.06,1
71.53,140.44,0
64.55,111.84,1
66.36,128.65,1
62.93,115.5,1
65.33,106.74,1
65.09,131.42,1
62.48,145.5,0
64.37,149.96,0
67.08,173.67,0
66.72,164.72,0
66.14,134.4,0
68.76,172.31,0
61.96,117.05,1
67.13,161.02,0
55.2,106.58,1
61.85,112.87,1
64.53,124.85,1
72.54,166.7,0
67.23,156.94,0
70.41,171.81,0
65.41,143.52,0
71.75,156.01,0
69.5,158.7,0
55.65,114.38,1
64.82,118.08,1
61.96,112.6,1
65.34,138,0
58.61,103.65,1
66.7,155.35,0
72.19,163.29,0
65.13,113.65,1
66.65,124.03,1
70.12,165.06,0
70.54,154.99,0
72.06,198.73,0
64.58,103.57,1
68.93,148.34,0
73.75,188.44,0
68.27,153.4,0
66.8,136.64,0
65.4,145.15,0
68.99,166.3,0
63.09,119.4,1
68.53,128.76,1
69.44,166.27,0
68.07,168.51,0
70.9,150.18,0
63.71,111.42,1
72.63,176.34,0
68.31,136.89,1
62.42,120.16,1
64.21,119.17,1
70.34,160.7,0
68.87,164.19,0
71.43,169.41,0
73.51,181.2,0
64.74,107.62,1
70.41,159.67,0
62.4,115.97,1
68.39,184.3,0
68.51,164.11,0
61.62,107.81,1
62.21,124.53,1
73.96,175.26,0
69.73,148.99,0
73.35,163.68,0
66.45,161.46,0
69.33,156.99,0
69.38,161.7,0
71.21,148.9,0
66.84,152.49,0
63.61,100.98,1
63.85,111.02,1
69.55,160.47,0
61.14,123.58,1
69.75,160.68,0
73.52,187.19,0
64.65,123.58,1
62.34,103.17,1
65.15,128.36,1
60.62,110.47,1
67.97,144.75,0
64.66,127.77,1
64.33,122.73,1
66.08,130.4,1
63.87,112.7,1
61.01,107.34,1
71.32,153.7,0
67.52,123.68,1
67.35,134.95,1
64.85,133.12,0
62.23,113.64,1
60.77,107.06,1
70.14,165.27,0
68.89,166.73,0
62.95,149.88,0
64.6,120.45,1
65.46,133.63,0
66.35,114.12,1
61.97,116.66,1
64.96,138.9,0
64.91,127.23,1
66.09,131.69,0
66.61,127.57,1
59.27,107.94,1
67.47,127.32,1
66.01,116.62,1
62.76,108.58,1
64.08,98.43,1
67.57,145.59,0
61.73,122.86,1
57.38,107.25,1
62.7,112.32,1
65.01,137.34,0
67.77,163.87,0
63.56,127.94,0
69.51,133.76,1
66.95,173.69,0
63.85,126.64,1
62.38,120.71,1
61.32,117.25,1
67.27,123.67,1
74.38,193.29,0
63.94,107.13,1
73.33,163.38,0
66.49,125.49,1
67.55,126.36,1
61.27,119.48,1
70.09,150.57,0
66.47,178.28,0
73.31,190.75,0
72.14,163.63,0
65.29,112.07,1
66.71,137.71,1
66.09,143.17,0
68.14,174.66,0
66.96,138.68,1
63.91,106.19,1
63.8,144.52,0
69.14,151.03,0
69.46,162.39,0
65.6,117.56,1
68.29,174.13,0
59.86,98.28,1
63.51,121.77,1
65.72,113.84,1
64.81,116.7,1
69.86,163.39,0
70.39,146.83,0
65.05,119.72,1
59.75,97.2,1
63.16,114.91,1
69.02,164.68,0
70.21,156.15,0
69.57,147.94,0
66.68,162.4,0
69.88,127.75,1
72.1,169.88,0
75.76,179.35,0
62.78,147.94,0
62.78,112.12,1
64.84,135.61,1
68.23,165.14,0
59.12,112.01,1
60.07,92.67,1
56.98,115.01,1
70.3,167.61,0
64.81,124.41,1
66.04,141.89,0
66.43,176.62,0
73.04,191.06,0
66.36,117,1
65.61,133.68,0
69.74,158.41,0
65.47,116.1,1
67.28,143.36,1
65.66,119.31,1
59.92,111.05,1
67.56,126.88,1
68.25,162.32,0
67.26,155.23,0
62.45,113.28,1
70.65,161.18,0
69.63,134.14,1
69.56,150.21,0
66.26,117.48,1
68.01,164.09,0
64.95,147.26,0
66.84,149.22,0
69.32,149.75,0
62.67,125.62,1
65.56,101.93,1
65.95,117.29,1
60.83,138.14,0
62.93,121,1
66.87,115.95,1
70.32,165.27,0
70.31,173.37,0
66.38,165.67,0
63.62,112.31,1
66.69,117.82,1
72.36,165.39,0
65.47,119.32,1
62.95,136.37,0
66.57,119.7,1
73.58,172.51,0
70.12,157.23,0
61.31,113.05,1
61.3,111.7,1
63.38,108.56,1
71.33,143.17,0
70.82,148.34,0
72.11,175.46,0
61.19,118.32,1
61.95,120.68,1
69.33,157.04,0
66.16,127.84,0
69.06,179.45,0
66.9,171.62,0
62.83,124.98,1
68.54,157.43,0
76.82,191.22,0
63.15,107.87,1
67.76,133.86,1
65.86,140.81,0
63.46,115.37,1
71.97,162.09,0
66.61,124.48,1
73,162.36,0
66.3,122.39,1
67.47,170.69,0
69.08,182.56,0
66.89,165.36,0
65.27,101.88,1
61.83,132.78,1
67.23,124.41,1
69.29,165.72,0
63.88,107.02,1
61.19,112.03,1
67.33,165.02,0
69.32,178.6,0
64.78,133.99,0
65.49,113.04,1
67.11,152.49,0
66.12,139.56,0
63.05,110.4,1
65.74,115.56,1
69.71,148.65,0
70.21,148.65,0
70.05,166.89,0
70.92,158.09,0
61.63,113.39,1
65.56,119.27,1
64.26,119.7,1
63.25,108.26,1
69.89,152.25,0
63.42,121.6,1
74.61,191.45,0
64.09,123.82,1
69.32,164.34,0
67.03,153.15,0
68.37,180.83,0
75.59,190.6,0
62.92,122.8,1
68.28,166.25,0
70.36,174.46,0
68.09,139.36,0
63.76,121.12,1
60.01,92.41,1
66.59,126.94,1
65.8,103.08,1
62.47,110.25,1
61.92,134.26,0
68.88,140.47,0
65.88,127.11,1
62.55,103.15,1
73.57,187.34,0
60.27,100.23,1
63.24,127.6,1
63.23,118.79,1
71.74,174.55,0
70.64,148.71,0
69.15,163.75,0
68.2,135,0
62.82,116.61,1
64.98,110.75,1
62.01,123.88,1
70.64,148.89,0
70.73,162.23,0
72.27,173.59,0
59.98,106.98,1
67.99,158.48,0
74.08,196.65,0
63.27,119.77,1
62.65,120.72,1
71.05,151.78,0
68.77,157.83,0
69.42,156.37,0
59.93,108.95,1
65.36,127.61,1
70.93,171.97,0
64.63,129.54,1
68.35,151.37,0
59.39,102.83,1
70.99,168.89,0
65.47,114.61,1
66.28,96.4,1
70.65,171.86,0
61.36,108.85,1
71.36,139.98,0
71.31,164.54,0
69.24,159.44,0
65.82,130.35,1
70.33,155.71,0
66.98,127.43,1
68.7,162.64,0
64.51,143.69,0
63.98,140.63,0
71.57,156.25,0
68.29,163.56,0
68.97,144.14,0
69.04,156.4,0
66.13,131.93,0
67.23,121.91,1
64.25,114.23,1
70.44,159.14,0
66.4,112.47,1
67.65,127.76,1
71.11,161.24,0
64.33,117.46,1
65.53,138.66,0
70.88,154.91,0
64.42,105.82,1
61.35,112.93,1
68.22,130.5,1
69.99,149.59,0
66.46,167.18,0
65.17,111.9,1
67.11,118.96,1
68.31,162.54,0
63.03,113.68,1
68.04,163.11,0
66.59,166.21,0
69.97,170.32,0
71.3,155.09,0
62.86,113.18,1
65.43,106.26,1
73.14,170.76,0
66.07,108.36,1
67.5,161.81,0
62.44,102.15,1
65.68,138.65,0
69.22,155,0
65.26,118.84,1
61.66,118.78,1
59.77,107.65,1
65.62,101.15,1
59.58,106.27,1
67.69,143.09,1
65.25,112.37,1
62.69,109.51,1
59.01,110.11,1
68.39,145.63,0
66.44,126.09,1
65.93,116.5,1
69.55,127.16,1
65.68,163.25,0
69.59,161.64,0
60.33,104.04,1
61.62,123.52,1
67.23,153.4,0
64,153.97,0
64.65,122.92,1
66.57,112.22,1
69.88,147.44,0
66.59,164.35,0
63.73,116.7,1
69.87,165.75,0
65.37,124.06,1
58.83,110.6,1
66.34,154.56,0
63.04,122.82,1
62.21,113.1,1
67.09,143.08,0
61.11,119.95,1
70.56,161.64,0
70.31,170.21,0
73.51,169.02,0
63.21,116.46,1
74.39,162.83,0
69.89,162.12,0
60.56,102.69,1
61.57,112.9,1
65.84,142.21,0
70.91,175.54,0
71.67,166.86,0
69.54,159.4,0
71.35,160.17,0
66.32,112.4,1
69.96,153.35,0
66.39,156.83,0
69.04,170.83,0
67.72,132.98,1
66.71,125.9,1
64.12,111.59,1
72.23,159.35,0
64.97,122.64,1
65.63,132.67,0
72.41,176.56,0
69.55,158.66,0
65.76,104.55,1
66.03,108.95,1
68.37,166.12,0
64.64,120.39,1
60.25,129.01,0
67.69,173.22,0
61.96,110.68,1
67.15,155.35,0
68.19,160.78,0
68.06,124.63,1
73.81,159.3,0
65.96,134.28,0
69.69,152.2,0
61.85,117.26,1
60.74,102.27,1
63.27,150.35,0
67.64,178.09,0
64.64,126.72,1
67.43,142.6,1
65.22,125.32,0
64.02,115.14,1
67.14,155.12,0
64.61,124.32,1
61.72,106.52,1
70.56,164.18,0
62.77,109.09,1
75.57,180.68,0
65.92,121.15,1
69.18,145.11,1
66.01,117.32,1
64.55,124.43,1
67.3,134.29,1
71.08,168.68,0
62.47,115.19,1
62.53,112.68,1
70.45,154.64,0
68.85,161.22,0
66.15,116.66,1
62.03,121.69,1
70.67,164.01,0
70.09,156.06,0
59.67,103.94,1
70.88,158.09,0
61.61,117.98,1
62.92,112.83,1
73.73,159.57,0
62.72,129.02,1
64.04,106.08,1
71.98,169.76,0
67.18,133.08,1
64.58,110.68,1
72.33,135.47,1
60.58,103.21,1
64.04,120.12,1
71.48,179.53,0
69.58,155.06,0
61.49,111.47,1
69.46,156.76,0
66.83,175.05,0
70.35,160.94,0
60.52,108.79,1
65.31,149.18,0
65.52,117.91,1
70.22,147.23,0
73.67,194.27,0
59.78,102.82,1
72.98,182.52,0
62.44,122.37,1
65.93,106.88,1
68.07,131.81,1
64.43,104.78,1
68.86,140.94,0
68.24,118.04,1
74.67,187.13,0
66.31,120.29,1
67.73,168.56,0
62.67,109.13,1
65.61,114.72,1
61.03,113.94,1
59.51,103.59,1
75.53,193.54,0
69.08,153.5,0
65.43,120.7,1
59.72,104.59,1
70.74,154.1,0
68.88,145.4,0
61.44,120.99,1
69.28,151.05,0
64.32,117.51,1
71.57,173.43,0
70.38,178.54,0
70.31,158.13,0
61.8,125.34,1
62.57,112.06,1
76.42,168.1,0
67.6,166.56,0
64.02,100.01,1
65.94,133.47,0
68,151.33,0
68.09,158.53,0
61.81,116.95,1
73.82,173.58,0
66.95,142.86,1
63.11,116.93,1
67.36,152.5,1
63.35,128.6,1
59.14,116.44,1
66,102.26,1
61.75,106.17,1
60.78,108.03,1
72.63,158.88,0
69.99,166.75,0
68.59,155.09,0
67.45,135.76,1
64.84,116.67,1
64.89,138.37,0
65.56,128.38,1
65.55,130.31,0
69.4,153.29,0
68.87,155.13,0
67.33,129.9,1
70.26,156.35,0
63.38,119.31,1
63.99,128.29,1
62.16,106.5,1
62.14,116.28,1
66.71,125.5,1
71.24,163.15,0
57.98,89.96,1
63.14,103.84,1
63.52,117.24,1
66.36,107.31,1
65.56,117.43,1
68.49,164.97,0
60.92,109.77,1
62.1,121.86,1
70.72,159.07,0
67.28,154.59,0
66.23,166.94,0
71.88,135.46,1
65.63,140.07,0
69.53,158.92,0
64.54,136.35,0
68.79,153.2,0
67.93,146.97,0
67.67,137.27,1
72.28,162.97,0
62.11,115.09,1
61.75,111.56,1
65.06,108.09,1
71.63,160.86,0
70.42,170.42,0
64.47,111.37,1
71.43,167.65,0
73.28,186.87,0
68.47,182.81,0
62.43,109.37,1
61.37,113.87,1
71.77,164.09,0
65.85,115.53,1
60.13,108.44,1
64.46,133.27,1
65.18,114.34,1
65.87,120.7,1
60.06,88.78,1
67.43,152,0
61.9,116.4,1
72.27,177.22,0
68.96,157.02,0
70.46,175.02,0
68.61,122.9,1
64.8,103.31,1
61.2,100.8,1
69.33,179.67,0
64.62,117.52,1
67.53,129.85,1
62.83,121.25,0
68.94,130.18,1
71.48,147.06,0
62.21,123.09,1
67.7,118.03,1
53.63,98.69,1
64.03,142.45,0
67.45,143.18,0
70.72,176.35,0
61.23,116.15,1
69.06,119.41,1
62.11,148.26,0
61.41,114.23,1
62.3,104.96,1
66.82,147.48,0
75.34,196.64,0
61.84,107.13,1
66.24,121.81,1
63.84,120.41,1
68.69,144.2,0
64.19,114.28,1
71.4,161.39,0
61.22,109.24,1
65.44,117.23,1
70.9,153.5,0
64.04,111.69,1
61.07,112.03,1
71.14,146.2,0
72.56,188.57,0
63.26,127.6,1
70.6,164.23,0
64.05,103.15,1
66.57,130.56,1
71.31,168.54,0
62.91,99.48,1
67.12,123.69,1
61.38,121.46,1
64.14,119.5,1
67.93,152.51,0
65.54,138,0
63.52,106.49,1
68.54,155.93,0
68.61,136.32,1
66.6,134.66,1
56.97,109.27,1
71.99,164.48,0
64.71,115.63,1
63.19,133.08,0
68.45,184.15,0
66.86,151.41,0
56.85,99.89,1
60.05,97.99,1
67.41,159.52,0
67.48,171.34,0
71.72,156.58,0
68.33,153.51,0
56.67,104.93,1
63.35,123.95,1
70.24,164,0
65.63,108.8,1
70.97,169.67,0
64.1,112.61,1
64.55,150.47,0
69.5,169.89,0
66.17,106.99,1
67.09,123.53,1
67.74,130.57,1
62.43,100.78,1
65.57,119.6,1
66.06,110.06,0
71.55,163.59,0
63.39,120.81,1
61.43,121.47,1
62.47,115.29,1
67.91,152.13,0
61.76,123.93,1
68.14,159.22,0
64.4,118.22,1
61.02,123.95,1
69.06,141.86,0
70.53,162.3,0
68.89,168.37,0
62.25,107.08,1
66.6,140.54,1
62.05,123.15,1
69.45,160.4,0
64.87,128.06,1
63.26,107.07,1
62.08,126,1
60.79,104.15,1
65.91,113.55,1
75.43,174.97,0
64.51,120.9,1
67.84,163.45,0
67.22,163.05,0
71.88,145.06,0
66.71,131.92,1
59.39,101.44,1
63.55,113.36,1
70.17,145.17,0
61.92,107.8,1
67.11,158.2,0
66.84,156.6,0
67.41,150.39,0
61.56,119.28,1
67.85,171.47,0
62.9,114.42,1
62.27,109.7,1
65.19,107.09,1
64.38,115.06,1
73.09,174.74,0
68.31,135.9,1
66.52,163.58,0
69.62,151.51,0
69.34,168.01,0
67.66,128.17,1
70.54,167.91,0
66.53,134.81,1
69.62,146.58,1
71.55,163.2,0
70.85,155.61,0
71.76,159.8,0
67.71,153.6,0
71.76,138.34,1
66.07,158.37,0
65.92,115.66,1
67.03,150.92,0
57.58,110.36,1
63.12,111.83,1
64.62,111.52,1
68.66,151.27,0
59.96,93.08,1
62.29,114.52,1
64.62,101.56,1
62.53,107.17,1
61.8,116.69,1
63.23,117.62,1
65.22,113.06,1
66.37,115.96,1
62.58,109.34,1
72.77,187.26,0
63.78,117.15,1
66.53,129.9,1
66.16,136.75,0
64.42,125.69,1
66.13,147.45,0
62.54,109.12,1
66.2,102.95,1
66.19,137.96,0
62.93,107.3,1
64.94,106.35,1
63.71,114.34,1
58.57,110.25,1
73.36,177.37,0
68.52,156.22,0
68.57,147.94,0
62.32,111.22,1
68.69,167.57,0
65.73,127.78,0
68.07,132.07,1
65.71,145.19,0
69.23,144.55,0
73.41,182.39,0
73.63,182.01,0
59.14,104.2,1
65.37,119.15,1
62.19,115.73,1
72.45,169.93,0
61.22,109.22,1
66.03,121.16,1
69.87,158.42,0
64.26,120.34,1
71.01,167.28,0
64.74,133.5,1
69.17,157,0
71.93,162.1,0
67.86,151.76,0
61.32,122.2,1
65.45,105.14,1
70.82,158.39,0
70.6,162.56,0
69.53,178.01,0
62.68,110.3,1
64.82,111.18,1
70.95,173.1,0
67.4,144.19,0
66.71,168.55,0
68.2,168.7,0
70.82,154.61,0
65.7,137.53,0
68.02,153.99,0
63.96,130.69,0
66.11,115.63,1
63.98,109.16,1
66.4,169.58,0
69.28,148.53,0
73.51,181.32,0
71.19,152.04,0
66.03,149.26,0
68.51,123.87,1
62.84,125.53,0
63.97,117.09,1
65.32,142.54,0
70.76,173.79,0
63.91,116.62,1
62.04,106.06,1
70.94,150.28,0
66.48,139.62,1
62.04,117.7,1
63.54,117.3,1
70.35,160.27,0
73.81,190.75,0
63.24,127.54,1
68.21,163.13,0
65.66,120.12,1
71.09,145.15,0
61.44,116.69,1
68.47,158.53,0
62.77,114.52,1
64.76,119.02,1
72.88,172.67,0
68.09,128.5,1
70.76,162.66,0
63.6,132.05,1
71.47,158.55,0
63.72,116.4,1
65.99,134.5,0
64.64,121.7,0
63.29,114.09,1
62.65,128.86,1
67.23,158.77,0
69.96,147.45,0
66.6,164.86,0
70.64,158.63,0
67.46,136.66,1
62.79,115.39,1
64.7,115.88,1
68.94,135.27,1
70.41,162.36,0
73.89,179.15,0
68.56,128.06,1
71.92,144.36,0
68.24,132.37,1
64.98,110.3,1
69.83,154.86,0
63.84,138.14,0
69.62,169.69,0
61.95,120.07,1
